MEAN_RR,MEDIAN_RR,SDRR,RMSSD,condition,FID
1123,1241,388.0686926,20.16777814,no stress,1123-1241-388.0686926-20.16777814
834,849,75.4555276,9.439440668,interruption,834-849-75.4555276-9.439440668
945,938,116.010795,15.25266704,no stress,945-938-116.010795-15.25266704
999,999,202.7782566,16.26259873,time pressure,999-999-202.7782566-16.26259873
753,763,68.61991865,10.85649222,interruption,753-763-68.61991865-10.85649222
1085,1087,87.16469488,17.60626468,interruption,1085-1087-87.16469488-17.60626468
896,893,80.79949619,13.29122245,no stress,896-893-80.79949619-13.29122245
843,739,244.0156436,14.51326432,time pressure,843-739-244.0156436-14.51326432
906,887,116.7199581,17.35252366,no stress,906-887-116.7199581-17.35252366
579,570,52.73984081,9.35760837,time pressure,579-570-52.73984081-9.35760837
612,591,71.67576154,8.781932203,no stress,612-591-71.67576154-8.781932203
727,726,52.76456138,9.364197483,no stress,727-726-52.76456138-9.364197483
877,895,79.62053884,13.27981339,no stress,877-895-79.62053884-13.27981339
756,769,104.6176015,17.28529114,no stress,756-769-104.6176015-17.28529114
982,899,343.1482522,18.72494615,interruption,982-899-343.1482522-18.72494615
754,764,74.06155045,11.98214374,interruption,754-764-74.06155045-11.98214374
791,791,53.59309456,13.22808118,no stress,791-791-53.59309456-13.22808118
698,691,46.8218339,10.10546735,no stress,698-691-46.8218339-10.10546735
773,776,44.62232002,9.193395801,interruption,773-776-44.62232002-9.193395801
1002,1004,89.79804186,21.37643213,no stress,1002-1004-89.79804186-21.37643213
723,722,48.75404548,9.48977485,no stress,723-722-48.75404548-9.48977485
930,925,69.75077063,12.41933463,no stress,930-925-69.75077063-12.41933463
933,807,317.9155564,16.14091218,no stress,933-807-317.9155564-16.14091218
773,770,93.21711628,26.36895446,interruption,773-770-93.21711628-26.36895446
879,885,85.36209234,13.85901645,no stress,879-885-85.36209234-13.85901645
769,765,59.06479561,14.0159359,interruption,769-765-59.06479561-14.0159359
769,767,57.05311601,11.35341382,no stress,769-767-57.05311601-11.35341382
789,791,46.85850357,10.68029938,interruption,789-791-46.85850357-10.68029938
609,587,72.2082177,8.690759176,no stress,609-587-72.2082177-8.690759176
919,918,89.34434655,21.34177965,interruption,919-918-89.34434655-21.34177965
891,888,67.38954927,12.09263767,no stress,891-888-67.38954927-12.09263767
713,715,33.95231001,9.439059614,no stress,713-715-33.95231001-9.439059614
697,705,75.28968397,18.5778804,no stress,697-705-75.28968397-18.5778804
927,921,63.71423863,12.30814037,no stress,927-921-63.71423863-12.30814037
980,990,99.59469658,20.29418842,interruption,980-990-99.59469658-20.29418842
895,869,222.9928307,17.51122017,no stress,895-869-222.9928307-17.51122017
846,829,194.9282328,13.63031891,interruption,846-829-194.9282328-13.63031891
759,762,54.24852847,9.598300011,interruption,759-762-54.24852847-9.598300011
919,918,84.19063364,22.67506216,interruption,919-918-84.19063364-22.67506216
650,668,126.3075092,13.86977689,no stress,650-668-126.3075092-13.86977689
754,731,126.2511878,13.96290858,no stress,754-731-126.2511878-13.96290858
759,763,53.92184659,9.600987385,interruption,759-763-53.92184659-9.600987385
732,732,65.62066242,9.932161474,no stress,732-732-65.62066242-9.932161474
776,793,98.8770304,12.94742982,no stress,776-793-98.8770304-12.94742982
950,950,64.42737465,9.611948869,time pressure,950-950-64.42737465-9.611948869
980,977,71.04099472,13.70176615,no stress,980-977-71.04099472-13.70176615
948,954,76.59389494,11.10562873,time pressure,948-954-76.59389494-11.10562873
961,816,321.7198867,16.40045268,no stress,961-816-321.7198867-16.40045268
733,728,80.58198539,21.17770115,interruption,733-728-80.58198539-21.17770115
993,1008,128.7404973,22.77340796,interruption,993-1008-128.7404973-22.77340796
796,795,97.78658162,11.75514332,interruption,796-795-97.78658162-11.75514332
794,789,65.53160663,13.37746653,no stress,794-789-65.53160663-13.37746653
831,832,68.26303087,21.58470269,interruption,831-832-68.26303087-21.58470269
826,814,77.28143795,11.21146518,time pressure,826-814-77.28143795-11.21146518
780,786,44.80216906,8.731075021,interruption,780-786-44.80216906-8.731075021
801,752,294.9524379,16.45930896,no stress,801-752-294.9524379-16.45930896
1018,1009,182.501044,16.55079648,time pressure,1018-1009-182.501044-16.55079648
837,833,63.70114496,13.65414119,interruption,837-833-63.70114496-13.65414119
757,752,82.69568049,23.23289881,interruption,757-752-82.69568049-23.23289881
1144,1095,314.6452427,17.99169618,interruption,1144-1095-314.6452427-17.99169618
1011,1013,98.39210421,21.8075693,no stress,1011-1013-98.39210421-21.8075693
781,785,54.30485156,13.43999572,no stress,781-785-54.30485156-13.43999572
793,787,65.23106955,13.66524356,no stress,793-787-65.23106955-13.66524356
830,830,62.02208332,15.02134084,interruption,830-830-62.02208332-15.02134084
941,996,193.6282809,18.288309,interruption,941-996-193.6282809-18.288309
1023,1023,101.2639024,21.92264873,no stress,1023-1023-101.2639024-21.92264873
966,954,132.0154649,14.53262665,time pressure,966-954-132.0154649-14.53262665
590,543,142.6219596,19.67690496,no stress,590-543-142.6219596-19.67690496
769,773,44.90129243,9.273276048,interruption,769-773-44.90129243-9.273276048
950,963,119.7531054,15.85472192,no stress,950-963-119.7531054-15.85472192
734,735,40.54354553,9.910116605,no stress,734-735-40.54354553-9.910116605
861,867,77.57843892,13.82536073,interruption,861-867-77.57843892-13.82536073
974,977,143.3394812,19.45858766,no stress,974-977-143.3394812-19.45858766
750,756,72.72631481,10.02626503,no stress,750-756-72.72631481-10.02626503
800,815,84.47434638,13.92866709,interruption,800-815-84.47434638-13.92866709
965,947,85.70385879,14.82642611,no stress,965-947-85.70385879-14.82642611
816,821,80.5416913,10.41628157,no stress,816-821-80.5416913-10.41628157
890,897,98.94638817,15.54692113,no stress,890-897-98.94638817-15.54692113
1031,1028,75.8910505,18.77251769,interruption,1031-1028-75.8910505-18.77251769
911,919,76.49359751,16.87783155,interruption,911-919-76.49359751-16.87783155
