MEAN_RR,MEDIAN_RR,SDRR,RMSSD,condition,FID,results
1123,1241,388.0686926,20.16777814,no stress,1123-1241-388.0686926-20.16777814,0
834,849,75.4555276,9.439440668,interruption,834-849-75.4555276-9.439440668,1
945,938,116.010795,15.25266704,no stress,945-938-116.010795-15.25266704,0
999,999,202.7782566,16.26259873,time pressure,999-999-202.7782566-16.26259873,1
753,763,68.61991865,10.85649222,interruption,753-763-68.61991865-10.85649222,1
1085,1087,87.16469488,17.60626468,interruption,1085-1087-87.16469488-17.60626468,1
896,893,80.79949619,13.29122245,no stress,896-893-80.79949619-13.29122245,0
843,739,244.01564359999998,14.51326432,time pressure,843-739-244.0156436-14.51326432,1
906,887,116.7199581,17.35252366,no stress,906-887-116.7199581-17.35252366,0
579,570,52.73984081,9.35760837,time pressure,579-570-52.73984081-9.35760837,1
612,591,71.67576154,8.781932203,no stress,612-591-71.67576154-8.781932203,0
727,726,52.76456138,9.364197483,no stress,727-726-52.76456138-9.364197483,0
877,895,79.62053884,13.27981339,no stress,877-895-79.62053884-13.27981339,0
756,769,104.6176015,17.28529114,no stress,756-769-104.6176015-17.28529114,0
982,899,343.1482522,18.72494615,interruption,982-899-343.1482522-18.72494615,1
754,764,74.06155045,11.98214374,interruption,754-764-74.06155045-11.98214374,1
791,791,53.59309456,13.22808118,no stress,791-791-53.59309456-13.22808118,0
698,691,46.821833899999994,10.10546735,no stress,698-691-46.8218339-10.10546735,0
773,776,44.62232002,9.193395801,interruption,773-776-44.62232002-9.193395801,1
1002,1004,89.79804186,21.37643213,no stress,1002-1004-89.79804186-21.37643213,0
723,722,48.75404548,9.48977485,no stress,723-722-48.75404548-9.48977485,0
930,925,69.75077063,12.41933463,no stress,930-925-69.75077063-12.41933463,0
933,807,317.91555639999996,16.14091218,no stress,933-807-317.9155564-16.14091218,0
773,770,93.21711628,26.36895446,interruption,773-770-93.21711628-26.36895446,1
879,885,85.36209234,13.85901645,no stress,879-885-85.36209234-13.85901645,0
769,765,59.06479561,14.0159359,interruption,769-765-59.06479561-14.0159359,1
769,767,57.05311601,11.35341382,no stress,769-767-57.05311601-11.35341382,0
789,791,46.85850357,10.68029938,interruption,789-791-46.85850357-10.68029938,1
609,587,72.2082177,8.690759176,no stress,609-587-72.2082177-8.690759176,0
919,918,89.34434655,21.34177965,interruption,919-918-89.34434655-21.34177965,1
891,888,67.38954927,12.09263767,no stress,891-888-67.38954927-12.09263767,0
713,715,33.95231001,9.439059614,no stress,713-715-33.95231001-9.439059614,0
697,705,75.28968397,18.577880399999998,no stress,697-705-75.28968397-18.5778804,0
927,921,63.71423863,12.30814037,no stress,927-921-63.71423863-12.30814037,0
980,990,99.59469658,20.29418842,interruption,980-990-99.59469658-20.29418842,1
895,869,222.9928307,17.51122017,no stress,895-869-222.9928307-17.51122017,0
846,829,194.92823280000002,13.63031891,interruption,846-829-194.9282328-13.63031891,1
759,762,54.24852847,9.598300011000001,interruption,759-762-54.24852847-9.598300011,1
919,918,84.19063364,22.67506216,interruption,919-918-84.19063364-22.67506216,1
650,668,126.3075092,13.86977689,no stress,650-668-126.3075092-13.86977689,0
754,731,126.2511878,13.96290858,no stress,754-731-126.2511878-13.96290858,0
759,763,53.92184659,9.600987385,interruption,759-763-53.92184659-9.600987385,1
732,732,65.62066242,9.932161473999999,no stress,732-732-65.62066242-9.932161474,0
776,793,98.8770304,12.94742982,no stress,776-793-98.8770304-12.94742982,0
950,950,64.42737465,9.611948868999999,time pressure,950-950-64.42737465-9.611948869,1
980,977,71.04099472,13.70176615,no stress,980-977-71.04099472-13.70176615,0
948,954,76.59389494,11.10562873,time pressure,948-954-76.59389494-11.10562873,1
961,816,321.7198867,16.40045268,no stress,961-816-321.7198867-16.40045268,0
733,728,80.58198539,21.17770115,interruption,733-728-80.58198539-21.17770115,1
993,1008,128.7404973,22.77340796,interruption,993-1008-128.7404973-22.77340796,1
796,795,97.78658162,11.75514332,interruption,796-795-97.78658162-11.75514332,1
794,789,65.53160663,13.37746653,no stress,794-789-65.53160663-13.37746653,0
831,832,68.26303087,21.58470269,interruption,831-832-68.26303087-21.58470269,1
826,814,77.28143795,11.21146518,time pressure,826-814-77.28143795-11.21146518,1
780,786,44.80216906,8.731075021,interruption,780-786-44.80216906-8.731075021,1
801,752,294.95243789999995,16.45930896,no stress,801-752-294.9524379-16.45930896,0
1018,1009,182.501044,16.55079648,time pressure,1018-1009-182.501044-16.55079648,1
837,833,63.70114496,13.65414119,interruption,837-833-63.70114496-13.65414119,1
757,752,82.69568049,23.23289881,interruption,757-752-82.69568049-23.23289881,1
1144,1095,314.6452427,17.99169618,interruption,1144-1095-314.6452427-17.99169618,1
1011,1013,98.39210421,21.8075693,no stress,1011-1013-98.39210421-21.8075693,0
781,785,54.30485156,13.43999572,no stress,781-785-54.30485156-13.43999572,0
793,787,65.23106955,13.66524356,no stress,793-787-65.23106955-13.66524356,0
830,830,62.02208332,15.02134084,interruption,830-830-62.02208332-15.02134084,1
941,996,193.62828090000002,18.288308999999998,interruption,941-996-193.6282809-18.288309,1
1023,1023,101.2639024,21.92264873,no stress,1023-1023-101.2639024-21.92264873,0
966,954,132.01546489999998,14.53262665,time pressure,966-954-132.0154649-14.53262665,1
590,543,142.6219596,19.67690496,no stress,590-543-142.6219596-19.67690496,0
769,773,44.90129243,9.273276048,interruption,769-773-44.90129243-9.273276048,1
950,963,119.7531054,15.85472192,no stress,950-963-119.7531054-15.85472192,0
